ticker,lag,p_value,causal
AAPL,1,0.0043,True
AAPL,2,0.0105,True
AAPL,3,0.0153,True
AAPL,4,0.037,True
AAPL,5,0.0588,False
MSFT,1,0.2614,False
MSFT,2,0.011,True
MSFT,3,0.0236,True
MSFT,4,0.0146,True
MSFT,5,0.0202,True
GOOGL,1,0.119,False
GOOGL,2,0.1909,False
GOOGL,3,0.2886,False
GOOGL,4,0.205,False
GOOGL,5,0.2291,False
AMZN,1,0.2767,False
AMZN,2,0.5394,False
AMZN,3,0.4186,False
AMZN,4,0.4179,False
AMZN,5,0.551,False
META,1,0.0,True
META,2,0.0,True
META,3,0.0,True
META,4,0.0,True
META,5,0.0,True
TSLA,1,0.0694,False
TSLA,2,0.2559,False
TSLA,3,0.4298,False
TSLA,4,0.5875,False
TSLA,5,0.6682,False
NVDA,1,0.0246,True
NVDA,2,0.1181,False
NVDA,3,0.1009,False
NVDA,4,0.0501,False
NVDA,5,0.0423,True
