ticker,lag_days,correlation,p_value,significant
AAPL,0,0.2625,0.0,True
AAPL,1,0.0379,0.0465,True
AAPL,2,-0.0132,0.4898,False
AAPL,3,-0.0245,0.1995,False
AAPL,4,0.0006,0.9736,False
AAPL,5,0.0167,0.382,False
MSFT,0,0.1597,0.0,True
MSFT,1,0.0,0.9987,False
MSFT,2,-0.0486,0.0107,True
MSFT,3,-0.0153,0.4239,False
MSFT,4,0.024,0.208,False
MSFT,5,0.0135,0.4782,False
GOOGL,0,0.1382,0.0,True
GOOGL,1,0.0233,0.2225,False
GOOGL,2,0.0205,0.2825,False
GOOGL,3,-0.0058,0.7614,False
GOOGL,4,0.0233,0.2209,False
GOOGL,5,-0.0158,0.4074,False
AMZN,0,0.1681,0.0,True
AMZN,1,0.0175,0.3593,False
AMZN,2,-0.0021,0.9137,False
AMZN,3,0.0197,0.3019,False
AMZN,4,-0.0158,0.4064,False
AMZN,5,-0.0027,0.8876,False
META,0,0.1441,0.0,True
META,1,0.0784,0.0,True
META,2,0.0371,0.0518,False
META,3,0.0552,0.0038,True
META,4,0.0332,0.0814,False
META,5,0.0195,0.3059,False
TSLA,0,0.2651,0.0,True
TSLA,1,0.0317,0.0965,False
TSLA,2,0.0109,0.568,False
TSLA,3,0.0166,0.3828,False
TSLA,4,0.0033,0.8618,False
TSLA,5,-0.0065,0.7338,False
NVDA,0,0.2324,0.0,True
NVDA,1,0.024,0.2087,False
NVDA,2,0.0098,0.606,False
NVDA,3,-0.0247,0.1949,False
NVDA,4,0.0322,0.0912,False
NVDA,5,-0.0242,0.2039,False
